"target_group","normalized_name","collection_priority","collection_method","primary_source","source_url","validation_rule","notes"
"Penicillins","penicillins","high","RxNorm/RxClass class members + DailyMed/OpenFDA label contraindications + CDC cross-reactivity guidance","RxNorm/RxClass, DailyMed/OpenFDA, CDC","https://www.cdc.gov/std/treatment-guidelines/penicillin-allergy.htm","Every included drug must be a penicillin-class antibacterial or have label evidence linking it to penicillin hypersensitivity.","Core trap-patient group; includes amoxicillin and related penicillins."
"Cephalosporins","cephalosporins","high","RxNorm/RxClass class members + DailyMed/OpenFDA labels + CDC cross-reactivity guidance","RxNorm/RxClass, DailyMed/OpenFDA, CDC","https://www.cdc.gov/std/treatment-guidelines/penicillin-allergy.htm","Do not auto-block all cephalosporins for penicillin allergy; keep generation/side-chain/reaction-history review note.","Needed for beta-lactam cross-reactivity logic."
"Carbapenems","carbapenems","medium","RxNorm/RxClass class members + CDC beta-lactam guidance","RxNorm/RxClass, CDC","https://www.cdc.gov/std/treatment-guidelines/penicillin-allergy.htm","Treat as beta-lactam review, not automatic contraindication unless label/reaction history supports it.","Needed for broader beta-lactam allergy safety."
"Monobactams","monobactams","medium","RxNorm/RxClass class members + label review","RxNorm/RxClass, DailyMed/OpenFDA","https://dailymed.nlm.nih.gov/","Validate manually because cross-reactivity rules differ from other beta-lactams.","Useful once hospital antibiotics are added."
"Sulfonamide antibiotics","sulfonamide_antibiotics","high","RxNorm/RxClass class members + AAAAI cross-reactivity guidance","RxNorm/RxClass, AAAAI","https://www.aaaai.org/allergist-resources/ask-the-expert/answers/2023/sulfonamide","Include antibacterial sulfonamides only; do not mix with sulfonylureas, loop diuretics, thiazides, or celecoxib.","Prevents broad false sulfa allergy alerts."
"Non-antibiotic sulfonamides","non_antibiotic_sulfonamides","medium","Manual curated class mapping + AAAAI guidance","AAAAI, RxNorm/RxClass","https://www.aaaai.org/allergist-resources/ask-the-expert/answers/2023/sulfonamide","Must be tagged as review/no-auto-contraindication for sulfonamide antibiotic allergy.","Includes sulfonylureas and some diuretics as review examples."
"NSAIDs","nsaids","high","RxNorm/RxClass class members + NICE NSAID allergy guidance","RxNorm/RxClass, NICE","https://www.nice.org.uk/guidance/cg183/chapter/Recommendations","Separate non-selective NSAIDs from aspirin/salicylates and COX-2 selective agents when possible.","Core community-pharmacy allergy group."
"Salicylates","salicylates","high","RxNorm/RxClass class members + NICE NSAID allergy guidance","RxNorm/RxClass, NICE","https://www.nice.org.uk/guidance/cg183/chapter/Recommendations","Aspirin/salicylate allergy should cross-review with non-selective NSAIDs.","Needed for aspirin trap and NSAID cross-reactivity."
"COX-2 inhibitors","cox2_inhibitors","medium","RxNorm/RxClass class members + NICE NSAID allergy guidance","RxNorm/RxClass, NICE","https://www.nice.org.uk/guidance/cg183/chapter/Recommendations","Keep separate from non-selective NSAIDs; specialist review may allow use in some NSAID-allergic patients.","Avoids overly broad NSAID allergy blocks."
"Fluoroquinolones","fluoroquinolones","medium","RxNorm/RxClass class members + label hypersensitivity warnings","RxNorm/RxClass, DailyMed/OpenFDA","https://dailymed.nlm.nih.gov/","Validate class membership and retain severe-reaction caution.","Covers ciprofloxacin and later quinolones."
"Macrolides","macrolides","medium","RxNorm/RxClass class members + label hypersensitivity warnings","RxNorm/RxClass, DailyMed/OpenFDA","https://dailymed.nlm.nih.gov/","Same-class allergy alerts require reaction history; true allergy is less common.","Covers clarithromycin, azithromycin, erythromycin."
"Tetracyclines","tetracyclines","medium","RxNorm/RxClass class members + label hypersensitivity warnings","RxNorm/RxClass, DailyMed/OpenFDA","https://dailymed.nlm.nih.gov/","Validate class membership and label evidence.","Needed beyond current 30-drug test set."
"Aminoglycosides","aminoglycosides","medium","RxNorm/RxClass class members + label hypersensitivity warnings","RxNorm/RxClass, DailyMed/OpenFDA","https://dailymed.nlm.nih.gov/","Validate class membership and retain same-class review note.","Needed as antibiotic coverage grows."
"Nitroimidazoles","nitroimidazoles","low","RxNorm/RxClass class members + label hypersensitivity warnings","RxNorm/RxClass, DailyMed/OpenFDA","https://dailymed.nlm.nih.gov/","Class membership is small; validate manually.","Covers metronidazole."
"Azole antifungals","azole_antifungals","medium","RxNorm/RxClass class members + label hypersensitivity warnings","RxNorm/RxClass, DailyMed/OpenFDA","https://dailymed.nlm.nih.gov/","Separate systemic azoles from topical-only agents when possible.","Covers fluconazole and later antifungals."
"ACE inhibitors","ace_inhibitors","high","RxNorm/RxClass class members + label warnings for angioedema","RxNorm/RxClass, DailyMed/OpenFDA","https://dailymed.nlm.nih.gov/","ACE-inhibitor angioedema should trigger same-class avoidance/review; distinguish from cough.","Clinically important even if not classic IgE allergy."
"ARBs","arbs","medium","RxNorm/RxClass class members + label review","RxNorm/RxClass, DailyMed/OpenFDA","https://dailymed.nlm.nih.gov/","Keep separate from ACE inhibitors; review after ACE-inhibitor angioedema instead of auto-blocking.","Needed for broader cardiovascular meds."
"Heparins","heparins","high","RxNorm/RxClass class members + label contraindications/warnings","RxNorm/RxClass, DailyMed/OpenFDA","https://dailymed.nlm.nih.gov/","Separate hypersensitivity and heparin-induced thrombocytopenia concepts where schema allows.","High-risk anticoagulant allergy/adverse immune reaction group."
"Opioids","opioids","medium","RxNorm/RxClass class members + NICE drug-allergy documentation guidance","RxNorm/RxClass, NICE","https://www.nice.org.uk/guidance/cg183/chapter/Recommendations","Differentiate allergy from nausea, constipation, sedation, or histamine-mediated itching.","Prevents false opioid allergy positives."
"Insulins","insulins","medium","RxNorm/RxClass class members + label review","RxNorm/RxClass, DailyMed/OpenFDA","https://dailymed.nlm.nih.gov/","Track excipient-related reactions when known.","Needed for insulin glargine and future insulin products."
"Anticonvulsants","anticonvulsants","medium","RxNorm/RxClass class members + label SCAR warnings","RxNorm/RxClass, DailyMed/OpenFDA, NICE","https://www.nice.org.uk/guidance/cg183/chapter/Recommendations","Severe cutaneous adverse reactions should be high-risk and not treated as mild intolerance.","Covers carbamazepine/valproate and future antiseizure meds."
"PPIs","ppis","low","RxNorm/RxClass class members + label review","RxNorm/RxClass, DailyMed/OpenFDA","https://dailymed.nlm.nih.gov/","Keep separate from side effects; use only for documented hypersensitivity.","Covers omeprazole and later PPIs."
"Iodinated contrast media","iodinated_contrast_media","medium","DailyMed/RxClass where available + guideline review","DailyMed, RxNorm/RxClass","https://dailymed.nlm.nih.gov/","Do not confuse iodine/seafood myths with contrast reactions; requires separate documentation.","Useful future extension, not central to community prescriptions."
