canonical_inn,rxnorm_cui,rxnorm_synonyms,pct_match_count,source,confidence,priority_phase
warfarin,11289,warfarin | warfarin,0,RxNorm + PCT,high,week1_30
heparin,235473,"heparin, porcine | heparin, porcine",1,RxNorm + PCT,high,week1_30
aspirin,1191,aspirin | aspirin,14,RxNorm + PCT,high,week1_30
clopidogrel,236991,clopidogrel bisulfate | clopidogrel bisulfate,4,RxNorm + PCT,high,week1_30
metformin,235743,metFORMIN hydrochloride | metformin hydrochloride | metFORMIN hydrochloride,5,RxNorm + PCT,high,week1_30
glibenclamide,4815,glyBURIDE | glyburide | glibenclamide | glyBURIDE,5,RxNorm + PCT,high,week1_30
insulin glargine,274783,insulin glargine | insulin glargine,1,RxNorm + PCT,high,week1_30
enalapril,203123,enalapril maleate | enalapril maleate,0,RxNorm + PCT,high,week1_30
ramipril,35296,ramipril | ramipril,8,RxNorm + PCT,high,week1_30
amlodipine,104416,amLODIPine besylate | amlodipine besylate | amLODIPine besylate,10,RxNorm + PCT,high,week1_30
furosemide,4603,furosemide | furosemide,4,RxNorm + PCT,high,week1_30
spironolactone,9997,spironolactone | spironolactone,3,RxNorm + PCT,high,week1_30
digoxin,3407,digoxin | digoxin,2,RxNorm + PCT,high,week1_30
atorvastatin,83367,atorvastatin | atorvastatin,22,RxNorm + PCT,high,week1_30
simvastatin,36567,simvastatin | simvastatin,1,RxNorm + PCT,high,week1_30
ibuprofen,5640,ibuprofen | ibuprofen,0,RxNorm + PCT,high,week1_30
diclofenac,3355,diclofenac | diclofenac,5,RxNorm + PCT,high,week1_30
naproxen,7258,naproxen | naproxen,5,RxNorm + PCT,high,week1_30
prednisolone,34372,prednisoLONE acetate | prednisolone acetate | prednisoLONE acetate,2,RxNorm + PCT,high,week1_30
amoxicillin,133008,amoxicillin trihydrate | amoxicillin trihydrate,12,RxNorm + PCT,high,week1_30
ciprofloxacin,235851,ciprofloxacin lactate | ciprofloxacin lactate,0,RxNorm + PCT,high,week1_30
metronidazole,103866,metroNIDAZOLE benzoate | metronidazole benzoate | metroNIDAZOLE benzoate,5,RxNorm + PCT,high,week1_30
clarithromycin,21212,clarithromycin | clarithromycin,4,RxNorm + PCT,high,week1_30
fluconazole,4450,fluconazole | fluconazole,0,RxNorm + PCT,high,week1_30
carbamazepine,2002,carBAMazepine | carbamazepine | carBAMazepine,1,RxNorm + PCT,high,week1_30
valproate,40254,valproate | valproate,6,RxNorm + PCT,high,week1_30
fluoxetine,227224,FLUoxetine hydrochloride | fluoxetine hydrochloride | FLUoxetine hydrochloride,0,RxNorm + PCT,high,week1_30
sertraline,155137,sertraline hydrochloride | sertraline hydrochloride,3,RxNorm + PCT,high,week1_30
omeprazole,283742,esomeprazole | esomeprazole,3,RxNorm + PCT,high,week1_30
tramadol,10689,traMADol | tramadol | traMADol,4,RxNorm + PCT,high,week1_30
