canonical_inn,rxnorm_cui,rxnorm_synonyms,status,source
warfarin,11289,warfarin | warfarin,found,RxNorm
heparin,235473,"heparin, porcine | heparin, porcine",found,RxNorm
aspirin,1191,aspirin | aspirin,found,RxNorm
clopidogrel,236991,clopidogrel bisulfate | clopidogrel bisulfate,found,RxNorm
metformin,235743,metFORMIN hydrochloride | metformin hydrochloride | metFORMIN hydrochloride,found,RxNorm
glibenclamide,4815,glyBURIDE | glyburide | glibenclamide | glyBURIDE,found,RxNorm
insulin glargine,274783,insulin glargine | insulin glargine,found,RxNorm
enalapril,203123,enalapril maleate | enalapril maleate,found,RxNorm
ramipril,35296,ramipril | ramipril,found,RxNorm
amlodipine,104416,amLODIPine besylate | amlodipine besylate | amLODIPine besylate,found,RxNorm
furosemide,4603,furosemide | furosemide,found,RxNorm
spironolactone,9997,spironolactone | spironolactone,found,RxNorm
digoxin,3407,digoxin | digoxin,found,RxNorm
atorvastatin,83367,atorvastatin | atorvastatin,found,RxNorm
simvastatin,36567,simvastatin | simvastatin,found,RxNorm
ibuprofen,5640,ibuprofen | ibuprofen,found,RxNorm
diclofenac,3355,diclofenac | diclofenac,found,RxNorm
naproxen,7258,naproxen | naproxen,found,RxNorm
prednisolone,34372,prednisoLONE acetate | prednisolone acetate | prednisoLONE acetate,found,RxNorm
amoxicillin,133008,amoxicillin trihydrate | amoxicillin trihydrate,found,RxNorm
ciprofloxacin,235851,ciprofloxacin lactate | ciprofloxacin lactate,found,RxNorm
metronidazole,103866,metroNIDAZOLE benzoate | metronidazole benzoate | metroNIDAZOLE benzoate,found,RxNorm
clarithromycin,21212,clarithromycin | clarithromycin,found,RxNorm
fluconazole,4450,fluconazole | fluconazole,found,RxNorm
carbamazepine,2002,carBAMazepine | carbamazepine | carBAMazepine,found,RxNorm
valproate,40254,valproate | valproate,found,RxNorm
fluoxetine,227224,FLUoxetine hydrochloride | fluoxetine hydrochloride | FLUoxetine hydrochloride,found,RxNorm
sertraline,155137,sertraline hydrochloride | sertraline hydrochloride,found,RxNorm
omeprazole,283742,esomeprazole | esomeprazole,found,RxNorm
tramadol,10689,traMADol | tramadol | traMADol,found,RxNorm
