Allergy_Group,EPC_Class_ID,RelaSource,Drug_Name,RxCUI,Drug_Type
Penicillins,N0000175503,FDASPL,sulfacetamide,10169,IN
Penicillins,N0000175503,FDASPL,sulfadiazine,10171,IN
Penicillins,N0000175503,FDASPL,silver sulfadiazine,9793,IN
Cephalosporins,N0000175911,FDASPL,ezetimibe,341248,IN
Sulfonamides (Sulfa),N0000175913,FDASPL,linagliptin,1100699,IN
Sulfonamides (Sulfa),N0000175913,FDASPL,alogliptin,1368001,IN
Sulfonamides (Sulfa),N0000175913,FDASPL,saxagliptin anhydrous,1546030,PIN
Sulfonamides (Sulfa),N0000175913,FDASPL,sitagliptin,593411,IN
NSAIDs,N0000175722,FDASPL,sulindac,10237,IN
NSAIDs,N0000175722,FDASPL,tolmetin,10636,IN
NSAIDs,N0000175722,FDASPL,aspirin,1191,IN
NSAIDs,N0000175722,FDASPL,celecoxib,140587,IN
NSAIDs,N0000175722,FDASPL,bromfenac,19737,IN
NSAIDs,N0000175722,FDASPL,etodolac,24605,IN
NSAIDs,N0000175722,FDASPL,nepafenac,298665,IN
NSAIDs,N0000175722,FDASPL,nabumetone,31448,IN
NSAIDs,N0000175722,FDASPL,oxaprozin,32613,IN
NSAIDs,N0000175722,FDASPL,diclofenac,3355,IN
NSAIDs,N0000175722,FDASPL,diflunisal,3393,IN
NSAIDs,N0000175722,FDASPL,ketorolac,35827,IN
NSAIDs,N0000175722,FDASPL,meloxicam,41493,IN
NSAIDs,N0000175722,FDASPL,fenoprofen,4331,IN
NSAIDs,N0000175722,FDASPL,flurbiprofen,4502,IN
NSAIDs,N0000175722,FDASPL,ibuprofen,5640,IN
NSAIDs,N0000175722,FDASPL,indomethacin,5781,IN
NSAIDs,N0000175722,FDASPL,ketoprofen,6142,IN
NSAIDs,N0000175722,FDASPL,mefenamic acid,6693,PIN
NSAIDs,N0000175722,FDASPL,naproxen,7258,IN
NSAIDs,N0000175722,FDASPL,piroxicam,8356,IN
Fluoroquinolones,N0000175706,FDASPL,varenicline,591622,IN
Fluoroquinolones,N0000175706,FDASPL,nicotine,7407,IN
Macrolides,N0000175463,FDASPL,rilpivirine,1102270,IN
Macrolides,N0000175463,FDASPL,efavirenz,195085,IN
Macrolides,N0000175463,FDASPL,doravirine,2055755,IN
Macrolides,N0000175463,FDASPL,etravirine,475969,IN
Macrolides,N0000175463,FDASPL,nevirapine,53654,IN
Tetracyclines,N0000175882,FDASPL,tetracycline,10395,IN
Tetracyclines,N0000175882,FDASPL,doxycycline anhydrous,1545992,PIN
Tetracyclines,N0000175882,FDASPL,oxytetracycline anhydrous,1545999,PIN
Tetracyclines,N0000175882,FDASPL,eravacycline,2055906,IN
Tetracyclines,N0000175882,FDASPL,sarecycline,2059018,IN
Tetracyclines,N0000175882,FDASPL,omadacycline,2059269,IN
Tetracyclines,N0000175882,FDASPL,demeclocycline,3154,IN
Tetracyclines,N0000175882,FDASPL,doxycycline,3640,IN
Tetracyclines,N0000175882,FDASPL,tigecycline,384455,IN
Tetracyclines,N0000175882,FDASPL,minocycline,6980,IN
Beta-Blockers,N0000175561,FDASPL,azilsartan,1091643,IN
Beta-Blockers,N0000175561,FDASPL,candesartan,214354,IN
Beta-Blockers,N0000175561,FDASPL,sparsentan,2630535,IN
Beta-Blockers,N0000175561,FDASPL,olmesartan,321064,IN
Beta-Blockers,N0000175561,FDASPL,losartan,52175,IN
Beta-Blockers,N0000175561,FDASPL,valsartan,69749,IN
Beta-Blockers,N0000175561,FDASPL,telmisartan,73494,IN
Beta-Blockers,N0000175561,FDASPL,eprosartan,83515,IN
Beta-Blockers,N0000175561,FDASPL,irbesartan,83818,IN
Aminoglycosides,N0000175495,FDASPL,tedizolid,1540825,IN
Aminoglycosides,N0000175495,FDASPL,linezolid,190376,IN
Contrast Media (Iodine),N0000175918,DAILYMED,methimazole,6835,IN
Contrast Media (Iodine),N0000175918,DAILYMED,propylthiouracil,8794,IN
