"fabrik_row_id","cursor","reported_total","refprod","refprod_raw","nom2015","nom2015_raw","libelle","libelle_raw","localimporte","localimporte_raw","code_besoin","code_besoin_raw","code_classe_raw","code_classe","code_labo_raw","code_labo","code_categorie","code_categorie_raw","code_depot","code_depot_raw","code_condPart","code_condPart_raw","code_DCI1_raw","code_DCI1","code_DCI2_raw","code_DCI2","code_DCI3_raw","code_DCI3","code_DCI4_raw","code_DCI4","code_DCI5_raw","code_DCI5","princeps","princeps_raw","presentation","presentation_raw","designationforme","designationforme_raw","amm","amm_raw","dateamm","dateamm_raw","DLU","DLU_raw","COL","COL_raw","prix_HT","prix_HT_raw","phop_HT","phop_HT_raw","pg_HT","pg_HT_raw","ppha_HT","ppha_HT_raw","pp_TTC","pp_TTC_raw","statut","statut_raw","produitReference","produitReference_raw","typeProduit","typeProduit_raw","tableau","tableau_raw","stkmed","stkmed_raw","tva","tva_raw","secteur","secteur_raw","A_supp","A_supp_raw","ville","ville_raw","hopital","hopital_raw","clinique","clinique_raw","nom2010","nom2010_raw","danger_et_disp_part","danger_et_disp_part_raw","categorie_prod","categorie_prod_raw","VEIC","VEIC_raw","AP","AP_raw","BS_D","BS_D_raw","generique","generique_raw","PCL_HT","PCL_HT_raw","date_time","date_time_raw","source_url","scraped_at_utc"
"list_31_mod_fabrik_list_563_row_504951","1","5364","504951","504951","NM","NM","PLASMION 3% Sol.Inj.P.Perf. 20Poches de 500ml/Carton","PLASMION 3% Sol.Inj.P.Perf. 20Poches de 500ml/Carton","Importé","Importé","1-0230","1-0230","K02C1","SOLUTIONS DE GELATINE","0225","FRESENIUS KABI","M","M","HP","HP","","","GA   1","GELATINE (FLUIDE MODIFIEE)","","","","","","","","","GELAFUNFINE","GELAFUNFINE","20","20","","","3153012H","3153012H","2018-09-25","2018-09-25","24","24","0","0","164.876","164.876","164.876","164.876","164.876","164.876","179.22","179.22","235.854","235.854","I21","I21","","","50","50","/","/","10011201","10011201","0","0","","","0","0","0","0","1","1","0","0","NM","NM","","","","","V","V","","","","","0","0","181.364","181.364","2022-05-11 09:28:36","2022-05-11 09:28:36","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:51Z"
"list_31_mod_fabrik_list_563_row_507972","2","5364","507972","507972","NM","NM","MANNITOL 10% Sol inj Fl 500ml","MANNITOL 10% Sol inj Fl 500ml","Importé","Importé","1-0231","1-0231","K01F1","TRAITEMENT PAR OSMOSE","1241","BAXTER AG","M","M","HP","HP","","","MA 104","MANNITOL","","","","","","","","","MANNITOL","MANNITOL","1","1","","","7323071H*","7323071H*","2000-09-07","2000-09-07","36","36","20","20","3.931","3.931","3.931","3.931","3.931","3.931","4.273","4.273","5.935","5.935","PA","PA","","","50","50","/","/","10011301","10011301","0","0","","","0","0","0","0","1","1","1","1","NM","NM","","","","","V","V","","","","","1","1","4.324","4.324","2022-05-11 09:28:36","2022-05-11 09:28:36","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:51Z"
"list_31_mod_fabrik_list_563_row_500902","3","5364","500902","500902","NM","NM","MANNITOL 20% BIOSEDRA Sol inj Fl 500ml","MANNITOL 20% BIOSEDRA Sol inj Fl 500ml","Importé","Importé","1-0232","1-0232","K01F1","TRAITEMENT PAR OSMOSE","0225","FRESENIUS KABI","M","M","HP","HP","","","MA 104","MANNITOL","","","","","","","","","MANNITOL","MANNITOL","1","1","","","3153012*","3153012*","1998-11-03","1998-11-03","36","36","12","12","7.61","7.61","7.61","7.61","7.61","7.61","8.272","8.272","11.175","11.175","PA","PA","","","50","50","/","/","10015699","10015699","0","0","","","0","0","0","0","1","1","1","1","NM","NM","","","","","V","V","","","","","1","1","8.371","8.371","2022-05-11 09:28:36","2022-05-11 09:28:36","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:51Z"
"list_31_mod_fabrik_list_563_row_351637","4","5364","351637","351637","NM","NM","SPIROX 1.5MUI Comp.Pell. Bt 16","SPIROX 1.5MUI Comp.Pell. Bt 16","Local","Local","1-0237","1-0237","J01F","MACROLIDES ET APPARENTES","0910","ADWYA","M","M","HP","HP","","","SA  20","SPIRAMYCINE","","","","","","","","","ROVAMYCINE","ROVAMYCINE","16","16","","","9043802","9043802","2020-12-10","2020-12-10","24","24","0","0","3.938","3.938","3.938","3.938","3.938","3.938","4.281","4.281","6.363","6.363","*E","*E","","","35","35","A","A","9013102","9013102","7","7","","","0","0","0","0","1","1","0","0","NM","NM","","","","","E","E","","","","","0","0","4.332","4.332","2022-05-11 09:28:36","2022-05-11 09:28:36","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:51Z"
"list_31_mod_fabrik_list_563_row_358128","5","5364","358128","358128","NM","NM","SPIRA 1.5MU Comp.Pell. Bt 500","SPIRA 1.5MU Comp.Pell. Bt 500","Local","Local","1-0237","1-0237","J01F","MACROLIDES ET APPARENTES","0999","S.I.PHA.T","M","M","HP","HP","","","SA  20","SPIRAMYCINE","","","","","","","","","ROVAMYCINE","ROVAMYCINE","500","500","","","9003542H","9003542H","2021-12-01","2021-12-01","36","36","24","24","154","154","154","154","154","154","167.398","167.398","235.717","235.717","*E","*E","","","35","35","A","A","9013102","9013102","7","7","","","0","0","0","0","1","1","0","0","NM","NM","","","","","E","E","","","","","1","1","169.4","169.4","2022-05-11 09:28:36","2022-05-11 09:28:36","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:51Z"
"list_31_mod_fabrik_list_563_row_350323","6","5364","350323","350323","NM","NM","NORACTONE 100mg Comp.Pell. Bt 100","NORACTONE 100mg Comp.Pell. Bt 100","Local","Local","1-0239","1-0239","C03A1","EPARGNEURS DU POTASSIUM SEULS","1996","S.A.I.PH","M","M","HP","HP","","","SA  21","SPIRONOLACTONE","","","","","","","","","ALDACTONE","ALDACTONE","100","100","","","9163212H","9163212H","2019-07-30","2019-07-30","24","24","244","244","31.185","31.185","31.185","31.185","31.185","31.185","33.898","33.898","47.733","47.733","GG","GG","","","35","35","C","C","3090301","3090301","7","7","","","0","0","0","0","1","1","0","0","NM","NM","","","","","E","E","","","","","1","1","34.304","34.304","2022-05-11 09:28:36","2022-05-11 09:28:36","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:51Z"
"list_31_mod_fabrik_list_563_row_350169","7","5364","350169","350169","NM","NM","SULFATRIM 240mg/5ml Susp.Buv. Fl 100ml","SULFATRIM 240mg/5ml Susp.Buv. Fl 100ml","Local","Local","1-0244","1-0244","J01E","ASSOCIATION AVEC TRIMETHOPRIME ET APPARENTES","1989","GALPHARMA","M","M","HP","HP","","","CA 154","COTRIMOXAZOLE","","","","","","","","","BACTRIM","BACTRIM","1","1","","","9223021","9223021","2020-04-15","2020-04-15","36","36","0","0","2.09","2.09","2.09","2.09","2.09","2.09","2.272","2.272","3.474","3.474","*E","*E","","","35","35","A","A","9013902","9013902","7","7","","","0","0","0","0","1","1","0","0","NM","NM","","","","","E","E","","","","","1","1","2.299","2.299","2022-05-11 09:28:36","2022-05-11 09:28:36","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:51Z"
"list_31_mod_fabrik_list_563_row_351203","8","5364","351203","351203","NM","NM","COTRIMOX 480mg Comp. Bt 150","COTRIMOX 480mg Comp. Bt 150","Local","Local","1-0245","1-0245","J01E","ASSOCIATION AVEC TRIMETHOPRIME ET APPARENTES","1996","S.A.I.PH","M","M","HP","HP","","","CA 154","COTRIMOXAZOLE","","","","","","","","","BACTRIM","BACTRIM","150","150","","","9163223H","9163223H","2019-03-02","2019-03-02","36","36","96","96","8.322","8.322","8.322","8.322","8.322","8.322","9.046","9.046","13.076","13.076","*E","*E","","","35","35","A","A","9013903","9013903","7","7","","","0","0","0","0","1","1","0","0","NM","NM","","","","","E","E","","","","","1","1","9.154","9.154","2022-05-11 09:28:36","2022-05-11 09:28:36","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:51Z"
"list_31_mod_fabrik_list_563_row_351987","9","5364","351987","351987","NM","NM","DOGMACARE 50mg Gél. Bt 600","DOGMACARE 50mg Gél. Bt 600","Local","Local","1-0246","1-0246","N05A9","ANTI-PSYCHOTIQUES CLASSIQUES","7258","PHARMACARE","M","M","HP","HP","","","SA  45","SULPIRIDE","","","","","","","","","DOGMATIL","DOGMATIL","600","600","","","9343012H","9343012H","2019-12-04","2019-12-04","24","24","0","0","20.889","20.889","20.889","20.889","20.889","20.889","22.706","22.706","31.972","31.972","N21","N21","","","35","35","A","A","6020501","6020501","7","7","","","0","0","0","0","1","1","0","0","NM","NM","","","","","E","E","","","","","1","1","22.978","22.978","2022-05-11 09:28:36","2022-05-11 09:28:36","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:51Z"
"list_31_mod_fabrik_list_563_row_350152","10","5364","350152","350152","NM","NM","SINAPRID 0.5% Sol.Buv. Fl 150ml","SINAPRID 0.5% Sol.Buv. Fl 150ml","Local","Local","1-0247","1-0247","N05A9","ANTI-PSYCHOTIQUES CLASSIQUES","1989","GALPHARMA","M","M","HP","HP","","","SA  45","SULPIRIDE","","","","","","","","","DOGMATIL","DOGMATIL","1","1","","","9223071","9223071","2020-04-15","2020-04-15","36","36","36","36","1.87","1.87","1.87","1.87","1.87","1.87","2.033","2.033","3.108","3.108","N21","N21","","","35","35","A","A","","","7","7","","","0","0","0","0","1","1","0","0","NM","NM","","","","","E","E","","","","","1","1","2.057","2.057","2022-05-11 09:28:36","2022-05-11 09:28:36","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:51Z"
